               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072829,            0.033523,            0.068992,            0.083151,              0.2974,             0.10945,            0.062265,            0.043064,            0.014645,            0.065305,            0.070268,           0.0033036,           0.0033036
                   1,            0.046887,            0.022375,             0.06242,             0.33359,             0.24544,             0.21075,              0.1188,            0.037767,            0.010339,            0.059811,            0.039611,           0.0059799,           0.0059799
                   2,            0.044053,            0.017411,            0.056339,             0.38538,             0.34826,             0.31648,             0.16411,            0.040441,           0.0082924,            0.049889,           0.0082938,           0.0079961,           0.0079961
                   3,            0.037805,            0.014499,            0.047083,             0.55279,             0.51552,             0.47889,             0.26056,            0.032574,           0.0070027,            0.041041,             0.00703,             0.00703,             0.00703
                   4,            0.033992,            0.013269,            0.038382,             0.70725,             0.56877,             0.65977,             0.45606,            0.024097,           0.0066508,            0.031313,             0.00703,             0.00703,             0.00703
                   5,             0.03063,            0.012345,            0.029327,             0.74775,             0.67206,             0.74086,              0.5218,            0.022713,           0.0064384,             0.02425,             0.00604,             0.00604,             0.00604
                   6,            0.027167,            0.010513,            0.022288,              0.8319,             0.75201,             0.82817,             0.64213,            0.018879,           0.0059228,            0.018635,             0.00505,             0.00505,             0.00505
                   7,             0.02419,            0.010842,            0.020177,             0.88755,             0.80359,             0.87237,             0.67351,            0.019253,           0.0056163,            0.014513,             0.00406,             0.00406,             0.00406
                   8,            0.021227,           0.0099455,            0.016075,             0.90978,             0.81668,             0.89202,             0.71895,            0.016309,           0.0052889,            0.011767,             0.00307,             0.00307,             0.00307
                   9,            0.018254,           0.0094408,            0.013596,             0.90839,             0.88647,             0.92032,             0.76411,            0.014936,           0.0051069,           0.0099707,             0.00208,             0.00208,             0.00208
